sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;3;Governador;11;GLADSON DE LIMA CAMELI;GLADSON CAMELI;PP;PP / MDB / PSDB / DEM / PSD / PTB / PMN / SOLIDARIEDADE / PTC / PR / PPS;1;Eleito;2020-10-01 19:08:47;AC;10000603056;Válido;2022802018;2018;0,5371;223993;417076
AC;3;Governador;13;MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA;MARCUS ALEXANDRE;PT;PRB / PDT / PT / PODE / PROS / PC do B / PSB / PV / PSOL / PHS / PRTB / DC / PPL / PMB;1;Não Eleito;2020-10-01 19:08:47;AC;10000615663;Válido;2022802018;2018;0,3454;144071;417076
AC;3;Governador;17;ULYSSES FREITAS PEREIRA DE ARAÚJO;CORONEL ULYSSES;PSL;PSL / PATRI / PSC;1;Não Eleito;2020-10-01 19:08:47;AC;10000600234;Válido;2022802018;2018;0,108;45032;417076
AC;3;Governador;18;JANAINA ARAUJO FURTADO ACIOLY;JANAINA FURTADO;REDE;REDE;1;Não Eleito;2020-10-01 19:08:47;AC;10000600001;Válido;2022802018;2018;0,0066;2765;417076
AC;3;Governador;70;DAVID SOARES HALL;DAVID HALL;AVANTE;AVANTE;1;Não Eleito;2020-10-01 19:08:47;AC;10000624629;Válido;2022802018;2018;0,0029;1215;417076
AL;3;Governador;15;JOSE RENAN VASCONCELOS CALHEIROS FILHO;RENAN FILHO;MDB;MDB / PODE / PPS / PDT / PR / PTB / PHS / PT / PV / PRP / PRTB / PSD / DC / PC do B / AVANTE / PMN / SOLIDARIEDADE;1;Eleito;2021-03-23 16:32:09;AL;20000621744;Válido;2022802018;2018;0,773;1001053;1295083
AL;3;Governador;17;JOSAN LEITE PEREIRA BARROS;JOSAN LEITE;PSL;PSL / PATRI / PPL;1;Não Eleito;2021-03-23 16:32:09;AL;20000616894;Válido;2022802018;2018;0,1106;143208;1295083
AL;3;Governador;90;JOSÉ PINTO DE LUNA;PINTO DE LUNA;PROS;PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM;1;Não Eleito;2021-03-23 16:32:09;AL;20000630007;Válido;2022802018;2018;0,0731;94653;1295083
AL;3;Governador;50;BASILE GEORGES CAMPOS CHRISTOPOULOS;BASILE;PSOL;PSOL / PCB;1;Não Eleito;2021-03-23 16:32:09;AL;20000619772;Válido;2022802018;2018;0,0434;56169;1295083
AM;3;Governador;20;WILSON MIRANDA LIMA;WILSON LIMA;PSC;PSC / PRTB / REDE;1;Segundo turno;2021-04-19 20:09:47;AM;40000610391;Válido;2022802018;2018;0,3373;596585;1768768
