sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AM;MANAUS;11;Prefeito;14;AMAZONINO ARMANDO MENDES;AMAZONINO MENDES;PTB;PTB;2;Eleito;2008-10-26 19:02:13;02550;756;#NE;14434;2008;0,5713;495460;867305
AM;MANAUS;11;Prefeito;40;SERAFIM FERNANDES CORRÊA;SERAFIM CORRÊA;PSB;PSB;2;Não Eleito;2008-10-26 19:02:13;02550;3297;#NE;14434;2008;0,4287;371845;867305
AP;MACAPÁ;11;Prefeito;12;ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA;ROBERTO GÓES;PDT;PDT;2;Eleito;2008-10-26 19:44:12;06050;187;#NE;14434;2008;0,5166;91558;177217
AP;MACAPÁ;11;Prefeito;40;CARLOS CAMILO GÓES CAPIBERIBE;CAMILO CAPIBERIBE;PSB;PSB;2;Não Eleito;2008-10-26 19:44:12;06050;441;#NE;14434;2008;0,4834;85659;177217
BA;SALVADOR;11;Prefeito;15;JOÃO HENRIQUE DE BARRADAS CARNEIRO;JOÃO;PMDB;PMDB;2;Eleito;2008-10-26 20:23:04;38490;33306;#NE;14434;2008;0,5846;753487;1288979
BA;SALVADOR;11;Prefeito;13;WALTER DE FREITAS PINHEIRO;PINHEIRO;PT;PT;2;Não Eleito;2008-10-26 20:23:04;38490;1998;#NE;14434;2008;0,4154;535492;1288979
ES;VILA VELHA;11;Prefeito;22;NEUCIMAR FERREIRA FRAGA;NEUCIMAR FRAGA;PR;PR;2;Eleito;2008-10-26 17:56:20;57037;4417;#NE;14434;2008;0,5243;108476;206894
ES;VILA VELHA;11;Prefeito;15;HÉRCULES SILVEIRA;DR, HÉRCULES;PMDB;PMDB;2;Não Eleito;2008-10-26 17:56:20;57037;4461;#NE;14434;2008;0,4757;98418;206894
GO;ANÁPOLIS;11;Prefeito;13;ANTONIO ROBERTO OTONI GOMIDE;ANTONIO GOMIDE;PT;PT;2;Eleito;2008-10-26 18:10:47;92215;2620;#NE;14434;2008;0,7563;122245;161639
GO;ANÁPOLIS;11;Prefeito;15;ONAIDE SILVA SANTILLO;ONAIDE SANTILLO;PMDB;PMDB;2;Não Eleito;2008-10-26 18:10:47;92215;587;#NE;14434;2008;0,2437;39394;161639
MA;SÃO LUÍS;11;Prefeito;45;JOÃO CASTELO RIBEIRO GONÇALVES;JOÃO CASTELO;PSDB;PSDB;2;Eleito;2008-10-26 19:58:00;09210;7016;#NE;14434;2008;0,5584;271014;485316
MA;SÃO LUÍS;11;Prefeito;65;FLÁVIO DINO DE CASTRO E COSTA;FLÁVIO DINO;PC do B;PC do B;2;Não Eleito;2008-10-26 19:58:00;09210;12876;#NE;14434;2008;0,4416;214302;485316
MG;BELO HORIZONTE;11;Prefeito;40;MARCIO ARAUJO DE LACERDA;MARCIO LACERDA;PSB;PSB;2;Eleito;2008-10-26 21:45:04;41238;30916;#NE;14434;2008;0,5912;767332;1297892
MG;BELO HORIZONTE;11;Prefeito;15;LEONARDO LEMOS BARROS QUINTAO;LEONARDO QUINTÃO;PMDB;PMDB;2;Não Eleito;2008-10-26 21:45:04;41238;14435;#NE;14434;2008;0,4088;530560;1297892
MG;CONTAGEM;11;Prefeito;13;MARILIA APARECIDA CAMPOS;MARILIA CAMPOS;PT;PT;2;Eleito;2008-10-26 19:05:00;43710;54667;#NE;14434;2008;0,5688;174198;306264
MG;CONTAGEM;11;Prefeito;45;ADEMIR LUCAS GOMES;ADEMIR LUCAS;PSDB;PSDB;2;Não Eleito;2008-10-26 19:05:00;43710;46921;#NE;14434;2008;0,4312;132066;306264
MG;JUIZ DE FORA;11;Prefeito;45;CUSTÓDIO ANTÔNIO DE MATTOS;CUSTÓDIO MATTOS;PSDB;PSDB;2;Eleito;2008-10-26 19:11:00;47333;7680;#NE;14434;2008;0,5182;148137;285856
MG;JUIZ DE FORA;11;Prefeito;13;MARIA MARGARIDA MARTINS SALOMÃO;MARGARIDA;PT;PT;2;Não Eleito;2008-10-26 19:11:00;47333;14666;#NE;14434;2008;0,4818;137719;285856
MG;MONTES CLAROS;11;Prefeito;15;LUIS TADEU LEITE;TADEU;PMDB;PMDB;2;Eleito;2008-10-26 21:29:03;48658;48139;#NE;14434;2008;0,5258;96374;183294
MG;MONTES CLAROS;11;Prefeito;23;ATHOS AVELINO PEREIRA;ATHOS AVELINO;PPS;PPS;2;Não Eleito;2008-10-26 21:29:03;48658;6125;#NE;14434;2008;0,4742;86920;183294
MT;CUIABÁ;11;Prefeito;45;WILSON PEREIRA DOS SANTOS;WILSON SANTOS;PSDB;PSDB;2;Eleito;2008-10-26 19:42:26;90670;8936;#NE;14434;2008;0,6047;175038;289470
MT;CUIABÁ;11;Prefeito;22;MAURO MENDES FERREIRA;MAURO MENDES;PR;PR;2;Não Eleito;2008-10-26 19:42:26;90670;203;#NE;14434;2008;0,3953;114432;289470
PA;BELÉM;11;Prefeito;14;DUCIOMAR GOMES DA COSTA;DUCIOMAR COSTA;PTB;PTB;2;Eleito;2008-10-26 19:43:01;04278;15097;#NE;14434;2008;0,596;436693;732690
PA;BELÉM;11;Prefeito;15;JOSÉ BENITO PRIANTE JUNIOR;PRIANTE;PMDB;PMDB;2;Não Eleito;2008-10-26 19:43:01;04278;12381;#NE;14434;2008;0,404;295997;732690
PB;CAMPINA GRANDE;11;Prefeito;15;VENEZIANO VITAL DO REGO SEGUNDO NETO;VENEZIANO;PMDB;PMDB;2;Eleito;2008-10-26 18:50:23;19810;1434;#NE;14434;2008;0,5152;116222;225565
PB;CAMPINA GRANDE;11;Prefeito;45;ROMULO JOSE DE GOUVEIA;ROMULO GOUVEIA;PSDB;PSDB;2;Não Eleito;2008-10-26 18:50:23;19810;2120;#NE;14434;2008;0,4848;109343;225565
PR;LONDRINA;11;Prefeito;11;ANTONIO CASEMIRO BELINATI;ANTONIO BELINATI;PP;PP;2;Eleito;2008-10-26 18:57:04;76678;33618;#NE;14434;2008;0,5173;138926;268551
PR;LONDRINA;11;Prefeito;45;LUIZ CARLOS JORGE HAULY;HAULY;PSDB;PSDB;2;Não Eleito;2008-10-26 18:57:04;76678;2321;#NE;14434;2008;0,4827;129625;268551
PR;PONTA GROSSA;11;Prefeito;45;PEDRO WOSGRAU FILHO;WOSGRAU;PSDB;PSDB;2;Eleito;2008-10-26 19:08:08;77771;19970;#NE;14434;2008;0,5226;89538;171320
PR;PONTA GROSSA;11;Prefeito;23;SANDRO ALEX CRUZ DE OLIVEIRA;SANDRO ALEX;PPS;PPS;2;Não Eleito;2008-10-26 19:08:08;77771;30578;#NE;14434;2008;0,4774;81782;171320
RJ;CAMPOS DOS GOYTACAZES;11;Prefeito;15;ROSANGELA ROSINHA GAROTINHO BARROS ASSED MATHEUS DE OLIVEIRA;ROSINHA GAROTINHO;PMDB;PMDB;2;Eleito;2008-10-26 19:59:03;58190;3057;#NE;14434;2008;0,5447;135955;249593
